"user_id","email","password","blocking","deletion","roles"
"53","user6@gmail.com","$2a$10$91jLzDi8m9SK2gnke2IWDuqOdyRcZuqGSTY7NWv7cmMJCFKIS4siK","2022-02-24","NULL","USER"
"8","test97@gmail.com","$2a$10$8XdaAL5/Xb1h6gObbUrUJuIvOJlnbMtGhSOo2vdj.B2yy1IksZx8a","NULL","2022-01-23","USER"
"11","admin3@gmail.com","$2a$10$4HA/L2m2ZO7HB1gaiZDc6eI5TAiUO2x2MnvXaHQyaeu9xDfTIb1t.","NULL","NULL","ADMIN"
"7","test92@gmail.com","$2a$10$L1LqovTeMwy8/2D7hB99..fpT2jOxnumHCX2IqCpkE358nuOqwVGK","NULL","2022-01-24","USER"
"12","admin4@gmail.com","$2a$10$4bM/pGbLTFm2GIYFPijJLOMWL4xYc5VcwvTICWDQh9FzTFs.iRh8i","NULL","NULL","ADMIN"
"2","test79@gmail.com","$2a$10$p1yJX9SkthC22V/qOgq81uYBKnbEs.JUQ1iGHAi7yaAsqzALdE3vq","NULL","NULL","USER"
"6","test91@gmail.com","$2a$10$iI7w.dkUoC.u5akWDgKquO5hhSUlXCRf4SRoJtl9VcEEUUpQ2qCaW","NULL","NULL","USER"
"13","user1@gmail.com","$2a$10$uXXLZeYLGJOkNTRwyXlMk.JStMGS9MltUv.4NwYmQHJCEzAgbyakq","NULL","NULL","USER"
"14","user2@gmail.com","$2a$10$OlL3BctJR7qUho2hkQ0ui./88oNRo6gIWBoxbkkKNW0ZZqwE6Eggm","NULL","NULL","ADMIN"
"15","user3@gmail.com","$2a$10$NKFr0mviOJ0v2C9U3hTLaOASUpfImQFPPiLl2XKL18DB8HSiFIesu","NULL","NULL","USER"
"16","user4@gmail.com","$2a$10$zaQ9W1.FfiLLjThFZx/ZmOef.gvTmaz0GedEmddlzp837vh/tq.9.","NULL","NULL","USER"
"17","user5@gmail.com","$2a$10$XRQ1iMoEjWuVJwZB869FsO3Eh55rDeqGy9.uRM/9FhcBkcYr2k5Gq","NULL","NULL","USER"
"27","user11@gmail.com","$2a$10$gV6M0OeVhnBcuV10FpPpbe6rqn2/Q.vInh5J2MxIOJMjbl/.rRqAG","NULL","NULL","USER"
"32","user12@gmail.com","$2a$10$61Zy7S9gHx6NAH2kd2fHjeItf2tW56CnBAIWPwB9YrvNK4pb4ayEW","NULL","NULL","USER"
"38","user14@gmail.com","$2a$10$SqwUa9G7Mu093UHj4X9mlOtV1C20XYpHl5mEBBFTRcpgpo14TkLbi","NULL","NULL","USER"
"45","user13@gmail.com","$2a$10$NWZbAbl73kpG9waP183w7.iM.j.2Xu/GhegamI3LgG2.BGqZWh2X2","NULL","NULL","USER"
